week,staff_id,staff_name,role,service,present,roster_staff_id,is_off_roster
31,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
32,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
33,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
34,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
35,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
36,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
37,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
38,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
39,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
40,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
41,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
42,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
43,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
44,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
45,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
46,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
47,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
48,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
49,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
50,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
51,STF-b77cdc60,Allison Hill,doctor,emergency,0,STF-5ca26577,0
52,STF-b77cdc60,Allison Hill,doctor,emergency,1,STF-5ca26577,0
1,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
2,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
3,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
4,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
5,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
6,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
7,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
8,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
9,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
10,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
11,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
12,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
13,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
14,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
15,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
16,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
17,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
18,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
19,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
20,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
21,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
22,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
23,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
24,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
25,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
26,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
27,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
28,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
29,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
30,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
31,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
32,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
33,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
34,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
35,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
36,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
37,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
38,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
39,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
40,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
41,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
42,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
43,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
44,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
45,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
46,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
47,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
48,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
49,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
50,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
51,STF-5e560b99,Noah Rhodes,doctor,emergency,0,STF-02ae59ca,0
52,STF-5e560b99,Noah Rhodes,doctor,emergency,1,STF-02ae59ca,0
1,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
2,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
3,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
4,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
5,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
6,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
7,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
8,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
9,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
10,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
11,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
12,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
13,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
14,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
15,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
16,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
17,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
18,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
19,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
20,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
21,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
22,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
23,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
24,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
25,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
26,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
27,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
28,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
29,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
30,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
31,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
32,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
33,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
34,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
35,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
36,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
37,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
38,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
39,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
40,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
41,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
42,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
43,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
44,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
45,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
46,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
47,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
48,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
49,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
50,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
51,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0,STF-d8006e7c,0
52,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1,STF-d8006e7c,0
1,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
2,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
3,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
4,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
5,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
6,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
7,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
8,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
9,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
10,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
11,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
12,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
13,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
14,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
15,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
16,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
17,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
18,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
19,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
20,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
21,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
22,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
23,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
24,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
25,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
26,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
27,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
28,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
29,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
30,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
31,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
32,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
33,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
34,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
35,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
36,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
37,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
38,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
39,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
40,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
41,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
42,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
43,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
44,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
45,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
46,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
47,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
48,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
49,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
50,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
51,STF-403052c0,Daniel Wagner,doctor,emergency,0,STF-212d8b31,0
52,STF-403052c0,Daniel Wagner,doctor,emergency,1,STF-212d8b31,0
1,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
2,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
3,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
4,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
5,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
6,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
7,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
8,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
9,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
10,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
11,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
12,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
13,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
14,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
15,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
16,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
17,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
18,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
19,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
20,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
21,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
22,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
23,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
24,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
25,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
26,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
27,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
28,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
29,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
30,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
31,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
32,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
33,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
34,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
35,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
36,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
37,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
38,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
39,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
40,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
41,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
42,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
43,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
44,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
45,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
46,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
47,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
48,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
49,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
50,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
51,STF-c696ae9c,Cristian Santos,doctor,emergency,0,STF-107a58e4,0
52,STF-c696ae9c,Cristian Santos,doctor,emergency,1,STF-107a58e4,0
1,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
2,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
3,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
4,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
5,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
6,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
7,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
8,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
9,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
10,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
11,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
12,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
13,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
14,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
15,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
16,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
17,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
18,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
19,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
20,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
21,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
22,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
23,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
24,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
25,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
26,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
27,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
28,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
29,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
30,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
31,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
32,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
33,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
34,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
35,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
36,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
37,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
38,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
39,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
40,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
41,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
42,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
43,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
44,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
45,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
46,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
47,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
48,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
49,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
50,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
51,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0,STF-ca932dea,0
52,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1,STF-ca932dea,0
1,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
2,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
3,STF-d114bde8,Abigail Shaffer,doctor,emergency,0,STF-39082289,0
4,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
5,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
6,STF-d114bde8,Abigail Shaffer,doctor,emergency,0,STF-39082289,0
7,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
8,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
9,STF-d114bde8,Abigail Shaffer,doctor,emergency,0,STF-39082289,0
10,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
11,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
12,STF-d114bde8,Abigail Shaffer,doctor,emergency,0,STF-39082289,0
13,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
14,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
15,STF-d114bde8,Abigail Shaffer,doctor,emergency,0,STF-39082289,0
16,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
17,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
18,STF-d114bde8,Abigail Shaffer,doctor,emergency,0,STF-39082289,0
19,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
20,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
21,STF-d114bde8,Abigail Shaffer,doctor,emergency,0,STF-39082289,0
22,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
23,STF-d114bde8,Abigail Shaffer,doctor,emergency,1,STF-39082289,0
